Gene,Average_Score,Classification,Cortex,Striatum,hiPSC,Fetal,SynGO,GO Synapse,SynDB,SynSysNet
ACD,4.408970886493619,Negative,0,0,0,0,0,0,0,0
ACE,4.525521501165499,Negative,0,0,0,0,0,0,0,0
ACHE,4.313039206521078,Negative,0,0,1,0,1,1,0,0
ACIN1,4.454714986294902,Negative,0,0,1,1,0,0,0,0
ACKR2,4.324300292125333,Negative,0,0,0,0,0,0,0,0
ACKR3,4.422488833479166,Negative,0,0,0,0,0,0,0,0
ACKR4,4.4070284485317215,Negative,0,0,0,0,0,0,0,0
ACLY,4.564612689824999,Negative,1,1,1,1,0,0,1,0
ACO1,4.551701561368833,Negative,0,0,1,0,0,0,0,0
ACO2,4.378038950189,Negative,1,1,1,1,0,0,1,0
ACOT1,4.360351202253583,Negative,0,0,0,0,0,0,0,0
ACOT12,4.467929754375334,Negative,0,0,0,0,0,0,0,0
ACOT13,4.41924161166675,Negative,1,0,0,0,0,0,0,0
ACOT2,4.207692210674194,Negative,0,0,0,0,0,0,0,0
ACOT6,4.4590903729162505,Negative,0,0,0,0,0,0,0,0
ACOT7,4.68849836520325,EnSig,1,0,1,0,0,0,1,0
ACOT8,4.276398715236905,Negative,0,0,0,0,0,0,0,0
ACOX1,3.927670095964429,Negative,1,0,1,1,0,0,0,0
ACOX2,4.124267626080999,Negative,0,0,0,0,0,0,0,0
ACOX3,4.0315379881225,Negative,0,0,0,0,0,0,0,0
ACOXL,4.2627577546539985,Negative,0,0,0,0,0,0,0,0
ACP1,4.084490489753762,Negative,0,0,1,0,0,0,1,0
ACP2,4.285559232933498,Negative,0,0,1,0,0,0,0,0
ACP5,4.668087278045666,Negative,0,0,0,0,0,0,0,0
ACP6,4.299188782141333,Negative,0,0,0,0,0,0,0,0
ACRBP,4.285913331314251,Negative,0,0,0,0,0,0,0,0
ACSBG1,4.315624432131498,Negative,1,0,0,0,0,0,1,0
ACSBG2,4.4303859699827495,Negative,0,0,0,0,0,0,0,0
ACSF3,4.1732656551958325,Negative,1,0,1,0,0,0,0,0
ACSL1,4.338359445972118,Negative,1,1,1,0,0,0,0,1
ACSL3,4.1785291805455,Negative,1,1,1,0,0,0,1,1
ACSL4,4.29429546819425,Negative,0,0,1,0,0,0,0,0
ACSL5,4.1499888232909985,Negative,0,0,0,0,0,0,0,0
ACSL6,4.4790783124365,Negative,1,1,0,0,0,0,1,0
ACSM3,4.212946959020833,Negative,0,0,0,0,0,0,0,0
ACSM5,4.233720054374556,Negative,0,0,0,0,0,0,0,0
ACSS1,4.410442647467167,Negative,0,0,0,0,0,0,0,0
ACTA1,4.723665252336333,EnSig,0,0,0,0,0,0,1,0
ACTA2,4.654191085879363,Negative,0,1,1,0,0,0,1,0
ACTBL2,4.592613818964498,Negative,1,1,1,1,1,1,0,0
ACTC1,4.512984706496583,Negative,0,0,1,1,1,1,0,0
ACTG2,4.706752046825166,EnSig,1,1,0,0,0,0,1,0
ACTL6A,4.198428543670167,Negative,0,0,1,0,0,0,0,0
ACTL6B,4.972122374604,EnSig,0,0,1,1,0,0,1,0
ACTL7B,2.8989624234825,Negative,0,0,0,0,0,0,0,0
ACTL8,4.906774242843998,EnSig,0,0,0,0,0,0,0,0
ACTN1,4.599595419080873,Negative,1,1,1,1,1,1,1,1
ACTN2,4.650679476146909,Negative,1,1,0,1,1,1,1,0
ACTN4,4.620846114036631,Negative,1,1,1,1,0,0,0,0
ACTR10,4.137547615633249,Negative,1,0,1,1,0,0,0,0
ACTR1A,4.5914303960863325,Negative,1,0,1,1,0,0,1,0
ACTR1B,4.440895068028446,Negative,1,1,1,0,0,0,1,0
ACTR2,4.661246801465167,Negative,1,1,1,1,1,1,1,1
ACTR3,4.481930961714499,Negative,1,0,1,1,1,0,1,1
ACTR3B,4.24038623063675,Negative,1,0,1,0,0,0,1,0
ACTR3C,4.107184976969166,Negative,0,0,0,0,0,0,0,0
ACTR5,4.173490168811799,Negative,0,0,0,0,0,0,0,0
ACTR6,4.2344625158615,Negative,0,0,0,0,0,0,0,0
ACTR8,3.9915540127116658,Negative,0,0,0,0,0,0,0,0
ACTRT1,2.6231659093518327,Negative,0,0,0,0,0,0,0,0
ACVR1,4.369776696989,Negative,1,0,1,0,0,0,0,0
ACVR2A,4.337202255934833,Negative,0,0,1,0,0,0,0,0
ACVRL1,4.329107802822416,Negative,0,0,0,0,0,0,0,0
ACY1,4.0984255771445,Negative,0,0,0,0,0,0,0,0
ADA,4.353778709358664,Negative,0,0,0,0,0,0,0,0
ADAD2,4.544588538293167,Negative,0,0,0,0,0,0,0,0
ADAM10,3.998156680481,Negative,0,0,1,0,1,1,0,0
ADAM11,4.641613899892916,Negative,1,0,1,0,0,0,1,0
ADAM12,4.6871720642915715,EnSig,0,0,1,0,0,0,0,0
ADAM15,4.27674838014375,Negative,0,0,0,0,0,0,0,0
ADAM17,4.511176373003833,Negative,0,0,0,0,0,0,0,0
ADAM19,4.3662368931739985,Negative,0,0,0,0,0,0,0,0
ADAM28,4.2534672773497055,Negative,0,0,0,0,0,0,0,0
ADAM30,2.756638196162166,Negative,0,0,0,0,0,0,0,0
ADAM9,4.589878742298083,Negative,1,0,0,0,0,0,0,0
ADAMTS1,4.531040589313653,Negative,0,0,0,0,0,0,0,0
ADAMTS13,4.681830795169166,EnSig,0,0,0,0,0,0,0,0
ADAMTS4,4.685907476049295,EnSig,0,0,0,0,0,0,0,0
ADAMTS5,4.611002465038333,Negative,0,0,0,0,0,0,0,0
ADAMTS9,4.5641373592250005,Negative,0,0,1,0,0,0,0,0
ADAMTSL1,4.9053913270484975,EnSig,0,0,0,0,0,0,0,0
