Gene,Synapse Status,Synapse Percentile,Cortex,Striatum,hiPSC,Fetal,SynGO,SynDB,SynSysNet
GABRB3,yes,88.30,0,0,1,0,1,0,1
GABRD,Not a synapse gene,83.30,0,0,0,0,1,0,0
GABRE,Not a synapse gene,48.39,0,0,0,0,1,0,1
GABRG1,Not a synapse gene,60.43,0,0,0,0,0,0,1
GAD2,Not a synapse gene,73.40,1,1,0,0,1,0,0
GADD45GIP1,Not a synapse gene,71.88,1,0,1,0,0,0,0
GAK,yes,90.33,1,1,1,1,0,1,0
GAL,Not a synapse gene,34.37,0,0,0,0,0,0,0
GAL3ST2,Not a synapse gene,9.58,0,0,0,0,0,0,0
GAL3ST3,Not a synapse gene,31.17,0,0,0,0,0,0,0
GAL3ST4,Not a synapse gene,17.89,0,0,0,0,0,0,0
GALC,Not a synapse gene,60.59,1,0,0,0,0,0,0
GALE,Not a synapse gene,43.63,0,0,0,0,0,0,0
GALK1,Not a synapse gene,39.45,0,0,0,0,0,0,0
GALK2,Not a synapse gene,43.21,0,0,0,0,0,0,0
GALNT1,Not a synapse gene,48.76,0,0,0,0,0,0,0
GALNT10,Not a synapse gene,39.93,0,0,0,0,0,0,0
GALNT11,Not a synapse gene,46.04,0,0,0,0,0,0,0
GALNT12,Not a synapse gene,37.10,0,0,0,0,0,0,0
GALNT13,yes,87.81,0,0,1,0,0,0,0
GALNT14,Not a synapse gene,20.11,0,0,0,0,0,0,0
GALNT16,Not a synapse gene,58.71,0,0,1,0,0,0,0
GALNT18,Not a synapse gene,38.25,0,0,0,0,0,0,0
GALNT2,Not a synapse gene,36.82,0,0,1,0,0,0,0
GALNT3,Not a synapse gene,13.61,0,0,0,0,0,0,0
GALNT5,Not a synapse gene,47.30,0,0,0,0,0,0,0
GALNT7,Not a synapse gene,38.48,0,0,0,0,0,0,0
GALNT8,Not a synapse gene,45.60,0,0,0,0,0,0,0
GALNT9,Not a synapse gene,85.63,0,0,0,0,0,0,0
GALNTL5,Not a synapse gene,9.47,0,0,0,0,0,0,0
GALR1,Not a synapse gene,72.99,0,0,0,0,0,0,0
GALR2,Not a synapse gene,5.51,0,0,0,0,0,0,0
GAN,yes,91.28,0,0,1,0,0,0,0
GANAB,yes,93.06,0,1,1,1,0,0,1
GAP43,yes,89.75,1,1,1,1,0,1,1
GAPDH,yes,96.10,1,1,1,1,1,1,1
GAPDHS,Not a synapse gene,16.74,1,1,0,0,0,0,0
GAPVD1,Not a synapse gene,63.64,1,0,1,1,0,1,0
GAR1,Not a synapse gene,53.89,0,0,1,0,0,0,0
GARNL3,Not a synapse gene,49.53,0,0,0,0,0,0,0
GART,yes,96.81,1,0,1,1,0,0,0
GAS1,Not a synapse gene,45.09,0,0,0,0,0,0,0
GAS2,Not a synapse gene,43.25,0,0,0,0,0,0,0
GAS2L1,Not a synapse gene,74.99,1,0,0,0,0,0,0
GAS2L3,Not a synapse gene,37.34,0,0,0,0,0,0,0
GAS6,Not a synapse gene,69.39,0,0,0,0,0,0,0
GATA1,Not a synapse gene,48.46,0,0,0,0,0,0,0
GATA2,Not a synapse gene,54.16,0,0,0,0,0,0,0
GATA3,Not a synapse gene,40.20,0,0,0,0,0,0,0
GATA4,Not a synapse gene,16.52,0,0,0,0,0,0,0
GATA6,Not a synapse gene,8.79,0,0,0,0,0,0,0
GATAD2A,Not a synapse gene,55.63,0,0,0,0,0,0,0
GATAD2B,Not a synapse gene,55.29,0,0,0,1,0,0,0
GBA2,Not a synapse gene,80.53,1,0,1,0,0,0,0
GBE1,Not a synapse gene,59.64,0,0,1,0,0,0,0
GBF1,Not a synapse gene,85.88,0,0,1,1,0,0,0
GBP1,Not a synapse gene,20.61,0,0,0,0,0,0,0
GBP2,Not a synapse gene,37.07,0,0,0,0,0,0,0
GBP3,Not a synapse gene,13.48,0,0,0,0,0,0,0
GBP5,Not a synapse gene,14.42,0,0,0,0,0,0,0
GC,Not a synapse gene,35.37,0,0,0,0,0,0,0
GCAT,Not a synapse gene,64.12,0,0,1,0,0,0,0
GCDH,Not a synapse gene,40.31,0,0,1,0,0,0,0
GCFC2,Not a synapse gene,78.53,0,0,0,0,0,0,0
GCG,Not a synapse gene,5.42,0,0,0,0,0,0,0
GCGR,Not a synapse gene,21.77,0,0,0,0,0,0,0
GCH1,Not a synapse gene,41.73,0,0,0,0,0,0,0
GCK,Not a synapse gene,14.06,0,0,0,0,0,0,0
GCLC,Not a synapse gene,1.30,0,0,0,0,0,0,0
GCLM,Not a synapse gene,47.84,0,0,0,0,0,0,0
GCM1,Not a synapse gene,2.67,0,0,0,0,0,0,0
GCNT1,Not a synapse gene,31.74,0,0,0,0,0,0,0
GCNT3,Not a synapse gene,12.21,0,0,0,0,0,0,0
GCSAM,Not a synapse gene,9.82,0,0,0,0,0,0,0
GCSH,Not a synapse gene,13.24,0,0,0,0,0,0,0
GDA,Not a synapse gene,77.06,1,0,0,0,0,0,1
GDAP1,yes,94.62,1,1,1,1,0,1,1
GDAP2,Not a synapse gene,21.14,0,0,1,0,0,0,0
GDF11,Not a synapse gene,26.08,0,0,0,0,0,0,0
GDF15,Not a synapse gene,6.06,0,0,1,0,0,0,0
GDF5,Not a synapse gene,15.37,0,0,0,0,0,0,0
GDF9,Not a synapse gene,19.22,0,0,0,0,0,0,0
GDI1,yes,97.11,0,0,1,1,0,1,1
GDPD3,Not a synapse gene,7.81,0,0,0,0,0,0,0
GEM,Not a synapse gene,57.91,0,0,0,0,0,0,0
GEMIN2,Not a synapse gene,27.26,0,0,0,0,0,0,0
GEMIN5,Not a synapse gene,74.66,0,0,1,0,0,0,0
GEMIN6,Not a synapse gene,5.01,0,0,0,0,0,0,0
GEMIN7,Not a synapse gene,17.75,0,0,0,0,0,0,0
GEN1,Not a synapse gene,7.79,0,0,0,0,0,0,0
GFAP,yes,90.81,1,0,0,1,0,1,0
GFER,Not a synapse gene,14.56,0,0,0,0,0,0,0
GFI1,Not a synapse gene,25.73,0,0,0,0,0,0,0
GFM1,Not a synapse gene,86.94,0,0,1,0,0,0,0
GFM2,Not a synapse gene,79.06,0,0,1,0,0,0,0
GFPT1,Not a synapse gene,77.01,0,0,1,0,0,0,0
GFPT2,Not a synapse gene,43.64,0,0,0,0,0,0,0
GFRA1,Not a synapse gene,26.23,0,0,1,0,0,0,0
GFRA2,Not a synapse gene,48.10,1,0,1,1,0,0,0
GGA1,Not a synapse gene,86.19,1,0,0,0,0,0,0
GGA2,Not a synapse gene,65.38,0,0,0,0,0,0,0
GGA3,Not a synapse gene,69.51,1,0,1,0,0,1,0
GGCT,yes,92.50,0,0,0,0,0,0,0
GGCX,Not a synapse gene,16.54,0,0,0,0,0,0,0
GGN,Not a synapse gene,38.00,0,0,0,0,0,0,0
GGPS1,Not a synapse gene,6.94,0,0,0,0,0,0,0
GGT5,Not a synapse gene,14.32,0,0,0,0,0,0,0
GGT7,Not a synapse gene,73.85,0,0,1,0,0,0,0
GH2,Not a synapse gene,1.56,0,0,0,0,0,0,0
GHDC,Not a synapse gene,55.61,0,0,0,0,0,0,0
GHR,Not a synapse gene,77.64,0,0,0,0,0,0,0
GHRL,Not a synapse gene,7.13,0,0,0,0,0,0,0
GID8,Not a synapse gene,64.22,0,0,0,0,0,0,0
GIGYF2,Not a synapse gene,86.41,0,0,1,0,0,0,0
GIMAP1,Not a synapse gene,16.24,0,0,0,0,0,0,0
GIMAP2,Not a synapse gene,17.17,0,0,0,0,0,0,0
GIMAP4,Not a synapse gene,14.88,0,0,0,0,0,0,0
GIMAP5,Not a synapse gene,24.23,0,0,0,0,0,0,0
GIMAP6,Not a synapse gene,27.35,0,0,0,0,0,0,0
GIMAP8,Not a synapse gene,8.37,0,0,0,0,0,0,0
GINS2,Not a synapse gene,6.13,0,0,0,0,0,0,0
GINS4,Not a synapse gene,20.51,0,0,0,0,0,0,0
GIPC2,Not a synapse gene,44.71,0,0,0,0,0,0,0
GIT2,yes,93.08,1,0,1,0,0,1,0
GJA1,Not a synapse gene,86.35,1,1,1,0,0,1,1
GJB1,Not a synapse gene,48.03,0,0,0,0,0,0,0
GJB4,Not a synapse gene,19.84,0,0,0,0,0,0,0
GJC1,Not a synapse gene,17.53,0,0,0,0,0,0,0
GJC3,Not a synapse gene,4.16,1,0,0,0,0,0,0
GJD4,Not a synapse gene,29.33,0,0,0,0,0,0,0
GK2,Not a synapse gene,1.48,0,0,0,0,0,0,0
GK5,Not a synapse gene,31.88,0,0,0,0,0,0,0
GLA,Not a synapse gene,22.27,0,0,0,0,0,0,0
GLB1,Not a synapse gene,52.35,0,0,1,1,0,0,0
GLB1L,Not a synapse gene,11.92,0,0,0,0,0,0,0
GLB1L2,Not a synapse gene,26.17,0,0,0,0,0,0,0
GLB1L3,Not a synapse gene,46.18,0,0,0,0,0,0,0
GLCCI1,Not a synapse gene,29.23,0,0,0,0,0,0,0
GLCE,Not a synapse gene,58.68,0,0,0,0,0,0,0
GLDC,Not a synapse gene,51.04,0,0,1,0,0,0,0
GLE1,Not a synapse gene,15.35,0,0,0,0,0,0,0
GLG1,Not a synapse gene,76.13,1,1,1,0,0,1,0
GLI1,Not a synapse gene,52.29,0,0,0,0,0,0,0
GLI2,Not a synapse gene,38.64,0,0,0,0,0,0,0
GLI3,Not a synapse gene,45.34,0,0,0,0,0,0,0
GLI4,Not a synapse gene,25.68,0,0,0,0,0,0,0
GLIPR1,Not a synapse gene,25.45,0,0,0,0,0,0,0
GLIPR2,Not a synapse gene,26.53,1,0,1,1,0,1,0
GLIS2,Not a synapse gene,39.08,0,0,0,0,0,0,0
GLIS3,Not a synapse gene,34.04,0,0,0,0,0,0,0
GLMN,Not a synapse gene,61.48,0,0,1,0,0,0,0
GLO1,Not a synapse gene,59.12,0,0,1,0,0,0,1
GLP2R,Not a synapse gene,28.82,0,0,0,0,0,0,0
GLRA2,Not a synapse gene,73.90,0,0,0,0,0,0,0
GLRB,yes,95.00,0,0,0,0,1,0,0
GLRX,Not a synapse gene,21.69,0,0,0,0,0,0,0
GLRX2,Not a synapse gene,72.76,1,0,0,0,0,0,0
GLRX3,Not a synapse gene,72.94,0,0,1,0,0,0,0
GLRX5,Not a synapse gene,11.14,1,1,0,0,0,0,0
GLS,yes,89.28,1,1,1,0,0,1,1
GLS2,Not a synapse gene,38.73,0,0,0,0,0,1,0
GLTP,Not a synapse gene,24.22,0,0,0,0,0,0,0
GLUD1,Not a synapse gene,86.61,1,1,1,1,0,1,0
GLUD2,Not a synapse gene,34.15,0,0,0,0,0,0,0
GLUL,Not a synapse gene,75.06,1,1,0,0,0,1,0
GLYAT,Not a synapse gene,10.39,0,0,0,0,0,0,0
GLYCTK,Not a synapse gene,20.41,0,0,0,0,0,0,0
GLYR1,yes,92.98,0,0,1,1,0,0,0
GMCL1,Not a synapse gene,71.28,0,0,0,0,0,0,0
GMDS,Not a synapse gene,42.78,0,0,1,0,0,0,0
GMEB1,Not a synapse gene,8.13,0,0,0,0,0,0,0
GMEB2,Not a synapse gene,17.72,0,0,0,0,0,0,0
GMFB,Not a synapse gene,64.73,0,0,0,0,0,0,0
GMFG,Not a synapse gene,7.23,1,0,0,0,0,0,0
GMIP,Not a synapse gene,24.10,0,0,1,0,0,0,0
GMNN,Not a synapse gene,42.73,0,0,0,0,0,0,0
GMPPA,Not a synapse gene,44.01,0,0,1,0,0,0,0
GMPPB,Not a synapse gene,46.05,0,0,1,0,0,0,0
GMPR,Not a synapse gene,6.26,1,0,0,0,0,0,0
GMPR2,Not a synapse gene,55.13,0,0,1,0,0,0,0
GMPS,Not a synapse gene,54.21,1,0,1,0,0,0,0
GNA13,Not a synapse gene,76.76,1,1,1,0,0,1,1
GNA14,Not a synapse gene,38.74,1,1,0,0,0,1,1
GNA15,Not a synapse gene,40.23,0,0,0,0,0,0,1
GNAI1,yes,91.94,1,0,1,1,0,1,1
GNAI2,yes,92.36,1,1,1,1,0,1,1
GNAI3,yes,92.90,0,0,1,1,0,1,1
GNAL,Not a synapse gene,46.30,1,1,1,1,0,1,1
GNAQ,yes,88.45,1,0,1,1,0,1,1
GNAS,yes,99.80,1,1,1,1,0,1,1
GNAT1,Not a synapse gene,9.16,0,0,0,0,0,0,1
GNAT2,Not a synapse gene,1.98,1,1,0,0,0,0,0
GNAT3,Not a synapse gene,18.71,0,0,0,0,0,0,0
GNAZ,yes,88.47,1,1,1,1,0,1,1
GNB1,yes,99.33,1,1,1,1,0,1,1
GNB1L,Not a synapse gene,27.47,0,0,0,0,0,0,0
GNB2,yes,93.09,1,1,1,1,0,1,1
GNB3,Not a synapse gene,40.74,0,0,0,0,0,0,1
GNB4,Not a synapse gene,72.53,1,1,1,1,0,1,1
GNB5,yes,91.88,0,0,1,1,1,1,1
GNE,Not a synapse gene,15.93,0,0,1,0,0,0,0
GNG10,Not a synapse gene,15.11,0,0,0,0,0,0,1
GNG2,Not a synapse gene,67.80,1,0,0,0,0,1,1
GNG3,yes,96.85,1,1,0,0,0,1,1
GNG5,Not a synapse gene,38.45,0,0,0,0,0,0,1
GNL1,Not a synapse gene,58.86,1,1,1,0,0,1,0
GNL2,Not a synapse gene,29.87,0,0,0,0,0,0,0
GNL3,Not a synapse gene,54.32,0,0,0,0,0,0,0
GNL3L,Not a synapse gene,55.43,0,0,0,0,0,0,0
GNLY,Not a synapse gene,5.07,0,0,0,0,0,0,0
GNPAT,Not a synapse gene,25.38,1,0,1,0,0,1,0
GNPDA1,Not a synapse gene,29.31,0,0,0,0,0,0,0
GNPDA2,Not a synapse gene,20.79,0,0,0,0,0,0,0
GNPNAT1,Not a synapse gene,9.57,0,0,0,0,0,0,0
GNPTAB,yes,91.67,0,0,0,0,0,0,0
GNPTG,Not a synapse gene,74.07,0,0,0,0,0,0,0
GNS,Not a synapse gene,31.84,0,0,0,0,0,0,0
GOLGA1,Not a synapse gene,23.01,0,0,0,0,0,0,0
GOLGA2,yes,93.85,1,0,1,0,0,1,0
GOLGA4,Not a synapse gene,34.62,0,0,0,0,0,0,0
GOLGA5,Not a synapse gene,72.51,0,0,0,0,0,0,0
GOLGA6A,Not a synapse gene,5.52,0,0,0,0,0,0,0
GOLGA7,Not a synapse gene,39.91,0,0,0,0,0,0,0
GOLGA7B,Not a synapse gene,67.59,0,0,0,0,0,1,0
GOLGA8A,Not a synapse gene,18.38,0,0,0,0,0,0,0
GOLGA8B,Not a synapse gene,20.03,0,0,0,0,0,0,0
GOLPH3,Not a synapse gene,51.03,0,0,0,0,0,1,0
GOLPH3L,Not a synapse gene,37.01,0,0,0,0,0,0,0
GON4L,Not a synapse gene,25.42,0,0,0,0,0,0,0
GOPC,yes,92.71,1,0,1,0,0,0,0
GORAB,Not a synapse gene,32.76,0,0,0,0,0,0,0
GORASP1,Not a synapse gene,74.02,0,0,0,0,0,0,0
GORASP2,Not a synapse gene,85.55,0,0,1,0,0,0,0
GOSR1,Not a synapse gene,58.12,0,0,0,0,0,1,0
GOSR2,Not a synapse gene,67.56,0,0,0,0,0,0,0
GOT1,yes,90.21,0,0,1,1,0,1,1
GOT2,Not a synapse gene,70.89,1,0,1,1,0,1,0
GP1BA,Not a synapse gene,29.86,0,0,0,0,0,0,0
GP1BB,Not a synapse gene,51.58,0,0,0,0,0,0,0
GPA33,Not a synapse gene,21.02,0,0,0,0,0,0,0
GPAM,Not a synapse gene,17.20,0,0,0,0,0,0,0
GPATCH1,Not a synapse gene,31.99,0,0,0,0,0,0,0
GPATCH11,Not a synapse gene,57.83,0,0,0,0,0,0,0
GPBP1,Not a synapse gene,67.93,0,0,0,0,0,0,0
GPBP1L1,Not a synapse gene,59.63,0,0,0,0,0,0,0
GPC3,Not a synapse gene,37.20,0,0,0,0,0,0,0
GPC4,Not a synapse gene,48.88,0,0,1,1,1,0,0
GPC6,Not a synapse gene,85.65,0,0,1,0,1,0,0
GPCPD1,Not a synapse gene,25.63,1,0,0,0,0,0,0
GPD1L,Not a synapse gene,60.44,1,0,1,0,0,0,0
GPD2,Not a synapse gene,84.25,1,1,1,1,0,1,0
GPI,yes,95.48,1,1,1,1,0,1,0
GPKOW,Not a synapse gene,86.04,1,0,0,0,0,0,0
GPLD1,Not a synapse gene,49.22,0,0,0,0,0,0,0
GPM6A,yes,96.24,1,0,1,1,1,1,1
GPM6B,yes,98.63,1,1,1,0,0,0,1
GPN1,Not a synapse gene,15.98,0,0,0,0,0,0,0
GPNMB,Not a synapse gene,10.08,0,0,0,0,0,0,0
GPR101,Not a synapse gene,39.26,0,0,0,0,0,0,0
GPR119,Not a synapse gene,4.63,0,0,0,0,0,0,0
GPR142,Not a synapse gene,39.92,0,0,0,0,0,0,0
GPR143,Not a synapse gene,22.00,0,0,0,0,0,0,0
GPR148,Not a synapse gene,28.67,0,0,0,0,0,0,0
GPR15,Not a synapse gene,36.55,0,0,0,0,0,0,0
GPR151,Not a synapse gene,33.71,0,0,0,0,0,0,0
GPR156,Not a synapse gene,52.15,0,0,0,0,0,0,0
GPR158,Not a synapse gene,72.63,1,1,0,0,0,1,1
GPR162,Not a synapse gene,86.47,1,0,0,0,0,0,0
GPR173,Not a synapse gene,31.30,0,0,0,0,0,0,0
GPR183,Not a synapse gene,41.40,0,0,0,0,0,0,0
GPR20,Not a synapse gene,48.48,0,0,0,0,0,0,0
GPR22,Not a synapse gene,82.23,0,0,0,0,0,0,0
GPR25,Not a synapse gene,33.43,0,0,0,0,0,0,0
GPR3,Not a synapse gene,85.12,0,0,0,0,0,0,0
GPR35,Not a synapse gene,19.43,0,0,0,0,0,0,0
GPR37L1,Not a synapse gene,77.32,0,0,0,0,0,0,0
GPR39,Not a synapse gene,14.90,0,0,0,0,0,0,0
GPR50,Not a synapse gene,25.47,0,0,1,0,0,0,0
GPR52,Not a synapse gene,70.94,0,0,0,0,0,0,0
GPR61,Not a synapse gene,85.60,0,0,0,0,0,0,0
GPR78,Not a synapse gene,57.63,0,0,0,0,0,0,0
GPR84,Not a synapse gene,10.06,0,0,0,0,0,0,0
GPR85,Not a synapse gene,61.20,0,0,0,0,0,1,0
GPR87,Not a synapse gene,18.93,0,0,0,0,0,0,0
GPR89B,Not a synapse gene,43.49,0,0,0,0,0,0,0
GPRASP1,Not a synapse gene,53.52,1,0,0,0,0,0,0
GPRASP2,Not a synapse gene,74.41,0,0,0,0,0,0,0
GPRC5A,Not a synapse gene,42.86,0,0,0,0,0,0,0
GPRC5B,Not a synapse gene,80.64,1,0,0,0,0,1,0
GPRC5C,Not a synapse gene,49.29,0,0,0,0,0,0,0
GPRIN1,Not a synapse gene,72.60,1,1,1,1,0,1,1
GPS1,Not a synapse gene,71.96,0,1,1,1,0,0,0
GPSM1,Not a synapse gene,56.08,1,0,1,0,0,1,0
GPSM2,Not a synapse gene,33.74,0,0,0,0,0,0,0
GPSM3,Not a synapse gene,30.89,0,0,0,0,0,0,0
GPT,Not a synapse gene,48.01,0,0,0,0,0,0,0
GPT2,Not a synapse gene,37.33,0,0,0,0,0,0,0
GPX2,Not a synapse gene,10.85,0,0,0,0,0,0,0
GPX4,Not a synapse gene,61.66,0,0,1,0,0,1,0
GPX8,Not a synapse gene,48.92,0,0,0,0,0,0,0
GRAMD1A,Not a synapse gene,51.35,0,0,1,0,0,0,0
GRAMD1B,yes,93.57,0,0,0,0,0,0,0
GRAMD1C,Not a synapse gene,21.53,0,0,0,0,0,0,0
GRAP2,Not a synapse gene,57.61,0,0,0,0,0,0,0
GRASP,Not a synapse gene,41.18,1,0,0,0,0,0,0
GRB10,Not a synapse gene,87.39,0,0,1,0,0,1,0
GRB14,Not a synapse gene,67.65,0,0,0,0,0,0,0
GRB2,yes,99.66,1,0,1,0,0,1,1
GRB7,Not a synapse gene,78.83,0,0,0,0,0,0,0
GREM1,Not a synapse gene,14.14,0,0,0,0,0,0,0
GRHL1,Not a synapse gene,6.29,0,0,0,0,0,0,0
GRHL2,Not a synapse gene,14.21,0,0,0,0,0,0,0
GRHL3,Not a synapse gene,7.85,0,0,0,0,0,0,0
GRHPR,Not a synapse gene,43.20,0,1,1,0,0,1,0
GRIA1,yes,91.21,1,0,0,1,1,1,1
GRID2IP,Not a synapse gene,47.79,0,0,0,0,0,0,0
GRIK1,Not a synapse gene,86.49,0,0,0,1,1,0,1
GRIK2,yes,95.49,1,0,0,0,0,1,1
GRIK3,Not a synapse gene,23.90,1,0,1,0,0,0,1
GRIK5,Not a synapse gene,68.87,1,0,0,0,1,0,1
GRIN1,yes,93.24,1,1,0,1,1,1,1
GRIN2A,yes,96.31,1,1,0,0,1,1,1
GRIN2C,Not a synapse gene,77.90,1,0,0,0,0,0,1
GRIP1,Not a synapse gene,83.21,1,0,1,1,1,1,0
GRK1,Not a synapse gene,18.39,0,0,0,0,0,0,0
GRK4,Not a synapse gene,44.54,0,0,0,0,0,0,0
GRK5,Not a synapse gene,87.29,0,0,1,0,0,0,0
GRK6,Not a synapse gene,47.01,1,0,0,0,0,0,0
GRK7,Not a synapse gene,11.11,0,0,0,0,0,0,0
GRM1,yes,95.75,0,0,0,0,1,1,1
GRM2,Not a synapse gene,63.38,1,1,1,0,0,1,0
GRM6,Not a synapse gene,10.38,0,0,0,0,0,0,0
GRN,yes,94.26,1,0,0,0,0,0,0
GRPEL1,Not a synapse gene,73.64,1,0,0,0,0,0,0
GRTP1,Not a synapse gene,13.81,0,0,0,0,0,0,0
GRWD1,Not a synapse gene,58.89,0,0,0,0,0,0,0
GSAP,Not a synapse gene,34.48,0,0,0,0,0,0,0
GSC2,Not a synapse gene,21.19,0,0,0,0,0,0,0
GSDMA,Not a synapse gene,12.25,0,0,1,0,0,0,0
GSDMB,Not a synapse gene,15.04,0,0,0,0,0,0,0
GSDMD,Not a synapse gene,28.49,0,0,0,0,0,0,0
GSK3A,Not a synapse gene,87.40,1,1,1,1,0,0,0
GSN,Not a synapse gene,85.03,1,1,1,1,0,1,0
GSPT2,Not a synapse gene,53.40,0,0,0,0,0,0,0
GSR,Not a synapse gene,56.80,1,0,1,0,0,0,0
GSS,Not a synapse gene,50.40,0,0,0,0,0,0,0
GSTA1,Not a synapse gene,20.08,0,0,0,0,0,0,0
GSTA2,Not a synapse gene,5.66,0,0,0,0,0,0,0
GSTA3,Not a synapse gene,4.00,0,0,0,0,0,0,0
GSTA5,Not a synapse gene,0.33,0,0,0,0,0,0,0
GSTCD,Not a synapse gene,10.25,0,0,0,0,0,0,0
GSTK1,Not a synapse gene,71.42,0,0,1,0,0,1,0
GSTM1,Not a synapse gene,11.46,1,1,0,0,0,0,0
GSTM2,Not a synapse gene,19.56,0,0,1,0,0,1,0
GSTM3,Not a synapse gene,46.79,0,0,1,0,0,1,1
GSTM4,Not a synapse gene,25.86,0,0,0,0,0,0,0
GSTM5,Not a synapse gene,22.51,0,0,0,0,0,0,1
GSTO1,Not a synapse gene,57.73,0,0,1,0,0,1,0
GSTP1,yes,90.36,0,0,1,1,0,1,1
GSTT2B,Not a synapse gene,29.64,0,0,0,0,0,0,0
GTF2A1,Not a synapse gene,25.37,0,0,0,0,0,0,0
GTF2A1L,Not a synapse gene,7.84,0,0,0,0,0,0,0
GTF2A2,Not a synapse gene,3.89,0,0,0,0,0,0,0
GTF2B,Not a synapse gene,42.09,0,0,0,0,0,0,0
GTF2E1,Not a synapse gene,34.56,0,0,0,0,0,0,0
GTF2E2,Not a synapse gene,70.46,0,0,0,0,0,0,0
GTF2F1,Not a synapse gene,74.54,0,0,0,0,0,0,0
GTF2F2,Not a synapse gene,69.27,0,0,0,0,0,0,0
GTF2H1,Not a synapse gene,47.65,0,0,0,0,0,0,0
GTF2H2,Not a synapse gene,6.91,0,0,0,0,0,0,0
GTF2H3,Not a synapse gene,5.85,0,0,0,0,0,0,0
GTF2H4,Not a synapse gene,15.13,0,0,0,0,0,0,0
GTF2IRD1,Not a synapse gene,80.45,0,0,0,0,0,0,0
GTF2IRD2,Not a synapse gene,15.65,0,0,0,0,0,0,0
GTF2IRD2B,Not a synapse gene,13.95,0,0,0,0,0,0,0
GTF3A,Not a synapse gene,35.12,0,0,0,0,0,0,0
GTF3C1,Not a synapse gene,78.36,0,0,0,0,0,0,0
GTF3C2,Not a synapse gene,47.29,0,0,0,0,0,0,0
GTF3C3,Not a synapse gene,44.68,0,0,1,1,0,0,0
GTF3C4,Not a synapse gene,33.64,0,0,1,0,0,0,0
GTF3C5,Not a synapse gene,35.15,0,0,0,0,0,0,0
GTF3C6,Not a synapse gene,8.91,0,0,0,0,0,0,0
GTPBP1,Not a synapse gene,65.08,1,0,1,0,0,0,0
GTPBP10,Not a synapse gene,47.32,0,0,0,0,0,0,0
GTPBP2,Not a synapse gene,8.38,0,0,0,0,0,0,0
GTPBP3,Not a synapse gene,41.33,0,0,0,0,0,0,0
GTPBP4,Not a synapse gene,64.74,0,0,0,0,0,0,0
GTPBP8,Not a synapse gene,5.87,0,0,0,0,0,0,0
GTSE1,Not a synapse gene,75.82,0,0,0,0,0,0,0
GUCY1A2,Not a synapse gene,61.33,0,0,0,0,0,1,1
GUCY2C,Not a synapse gene,14.68,0,0,0,0,0,0,0
GUCY2D,Not a synapse gene,52.47,0,0,0,0,0,0,0
GUCY2F,Not a synapse gene,39.30,0,0,0,1,0,0,0
GUF1,Not a synapse gene,23.34,0,0,0,0,0,0,0
GUK1,Not a synapse gene,78.63,1,0,1,0,0,1,0
GULP1,Not a synapse gene,76.33,0,0,0,0,0,0,0
GYG1,Not a synapse gene,31.02,0,0,0,0,0,0,0
GYG2,Not a synapse gene,39.33,0,0,0,0,0,0,0
GYPA,Not a synapse gene,9.03,0,0,0,0,0,0,0
GYS1,Not a synapse gene,47.48,0,0,1,0,0,0,0
GYS2,Not a synapse gene,16.39,0,0,0,0,0,0,0
GZF1,Not a synapse gene,62.51,0,0,0,0,0,0,0
GZMA,Not a synapse gene,22.84,0,0,0,0,0,0,0
H6PD,Not a synapse gene,38.50,0,0,1,0,0,0,0
HAAO,Not a synapse gene,8.47,0,0,0,0,0,0,0
HABP4,Not a synapse gene,86.72,1,0,0,0,0,0,0
HACE1,Not a synapse gene,71.27,0,0,0,0,0,0,0
HACL1,Not a synapse gene,17.70,0,0,0,0,0,0,0
HADH,Not a synapse gene,44.62,1,0,1,0,0,1,0
HADHA,yes,90.91,1,1,1,1,0,1,0
HADHB,Not a synapse gene,81.68,1,1,1,1,0,1,0
HAGH,yes,92.43,0,0,1,0,0,0,0
HAL,Not a synapse gene,18.86,0,0,0,0,0,0,0
HAND2,Not a synapse gene,24.20,0,0,0,0,0,0,0
HAO1,Not a synapse gene,11.96,0,0,0,0,0,0,0
HAO2,Not a synapse gene,8.88,0,0,0,0,0,0,0
HARS2,Not a synapse gene,36.40,0,0,0,0,0,1,0
HAS1,Not a synapse gene,41.62,0,0,0,0,0,0,0
HAS2,Not a synapse gene,2.68,0,0,0,0,0,0,0
HAS3,Not a synapse gene,8.44,0,0,0,0,0,0,0
HAT1,Not a synapse gene,50.44,0,0,1,0,0,0,0
HAUS2,Not a synapse gene,31.35,0,0,0,0,0,0,0
HAUS3,Not a synapse gene,10.00,0,0,0,0,0,0,0
HAUS4,Not a synapse gene,45.95,0,0,0,0,0,0,0
HAUS5,Not a synapse gene,36.00,0,0,0,0,0,0,0
HAUS6,Not a synapse gene,52.76,0,0,0,0,0,0,0
HAVCR2,Not a synapse gene,34.17,0,0,0,0,0,0,0
HBB,Not a synapse gene,39.15,0,0,0,0,0,1,0
HBD,Not a synapse gene,14.97,0,0,0,0,0,1,0
HBE1,Not a synapse gene,16.85,0,0,0,0,0,0,0
HBEGF,Not a synapse gene,14.76,0,0,0,0,0,0,0
HBG1,Not a synapse gene,5.94,0,0,0,0,0,0,1
HBG2,Not a synapse gene,30.19,0,0,0,0,0,0,0
HBP1,Not a synapse gene,40.22,0,0,0,0,0,0,0
