genes,Synonym
AKT1,"['AKT', 'PKB', 'PRKBA', 'RAC', 'RAC-alpha']"
SYT1,"['SVP65', 'P65', 'SYT']"
RAB11A,['YL8']
CDC42,"['CDC42Hs', 'G25K']"
CUL1,[nan]
MOV10,"['gb110', 'MGC2948', 'fSAP113']"
PIK3C2A,['PI3K-C2alpha']
ARHGEF7,"['P85COOL1', 'KIAA0142', 'PAK3', 'COOL1', 'P50', 'DKFZp761K1021', 'PIXB', 'P50BP', 'P85SPR', 'Nbla10314', 'P85', 'BETA-PIX', 'DKFZp686C12170']"
ILF3,"['TCP110', 'NFAR90', 'NFAR-1', 'NFAR110', 'NF90a', 'MPP4', 'NFAR-2', 'NF90ctv', 'MPP4110', 'NF110', 'NF90', 'MPHOSPH4', 'NF110b', 'DRBP76', 'NF90c']"
STUB1,"['SDCCAG7', 'HSPABP2', 'CHIP', 'NY-CO-7', 'UBOX1']"
SRPK2,['SFRSK2']
PLEKHA7,['DKFZp686M22243']
MAGI2,"['ACVRIP1', 'ARIP1', 'AIP1', 'KIAA0705', 'MAGI-2']"
NRXN3,"['KIAA0743', 'C14orf60']"
LMO7,"['FBXO20', 'KIAA0858', 'FBX20']"
ITSN2,"['PRO2015', 'SH3D1B', 'KIAA1256', 'SWA', 'SH3P18', 'SWAP']"
HNRNPC,['HNRPC']
SNAP25,"['SNAP', 'RIC-4', 'SNAP-25', 'bA416N4.2', 'dJ1068F16.2', 'RIC4', 'SEC9']"
ATP1A1,[nan]
STIP1,"['HOP', 'STI1']"
RNF2,"['DING', 'BAP1', 'RING2', 'HIPI3', 'BAP-1', 'RING1B']"
TRIO,['ARHGEF23']
TUBB2A,"['dJ40E16.7', 'TUBB2', 'TUBB']"
UBA1,"['GXP1', 'UBE1', 'UBE1X', 'POC20', 'CFAP124', 'A1S9T']"
NDRG4,"['KIAA1180', 'SMAP-8']"
MAPK6,"['PRKM6', 'p97MAPK', 'HsT17250', 'ERK3']"
FBXO6,"['FBS2', 'Fbx6b', 'FBX6', 'FBG2']"
DNM3,['KIAA0820']
ATP6V1A,"['ATP6V1A1', 'Vma1', 'ATP6A1', 'VPP2', 'VA68']"
DCTN1,[nan]
RPS8,['S8']
LRRC4C,"['KIAA1580', 'NGL-1']"
DNM1,['DNM']
OTUB1,"['FLJ40710', 'FLJ20113']"
PLCG1,"['NCKAP3', 'PLCgamma1', 'PLC148', 'PLC-II', 'PLC1']"
