genes,Synonym
VRK2,[nan]
ST8SIA3,['SIAT8C']
SSB,"['LARP3', 'La', 'La/SSB']"
RAB22A,[nan]
PIP4K2A,"['PIP5KIIalpha', 'PIP5KIIA', 'PIP5K2A']"
MECP2,"['MRX16', 'RTT', 'MRX79']"
ZFP36,"['RNF162A', 'TIS11', 'TTP', 'G0S24', 'NUP475']"
UBAP2L,"['NICE-4', 'KIAA0144']"
PRKCSH,"['GIIB', 'VASAP-60', 'PLD1', 'G19P1', 'PCLD']"
FTSJ1,"['CDLIV', 'MRX9', 'TRM7', 'MRX44', 'TRMT7', 'SPB1', 'JM23']"
RAB39B,"['WSN', 'MRX72']"
CD2BP2,"['Snu40', 'PPP1R59', 'LIN1', 'U5-52K']"
SGSM1,"['KIAA1941', 'RUTBC2']"
ECHS1,['SCEH']
SKI,[nan]
RHBDL1,"['RRP', 'RHBDL']"
ASTN1,['ASTN']
MARK4,"['PAR-1D', 'KIAA1860', 'FLJ90097', 'Nbla00650', 'MARKL1']"
PCNP,[nan]
PGM2L1,"['FLJ32029', 'BM32A']"
EFNB1,"['Elk-L', 'EPLG2', 'LERK2', 'CFNS']"
APMAP,"['BSCv', 'C20orf3']"
SH2D5,[nan]
MME,"['CD10', 'CALLA', 'NEP']"
L3MBTL1,"['dJ138B7.3', 'KIAA0681', 'DKFZp586P1522', 'L3MBTL', 'ZC2HC3']"
EVL,['RNB6']
AMFR,"['RNF45', 'gp78']"
BRSK1,['KIAA1811']
CCKBR,[nan]
SRPRB,"['SR-beta', 'APMCF1']"
ATL1,"['FSP1', 'SPG3A', 'AD-FSP', 'SPG3']"
LATS2,[nan]
YAF2,[nan]
KRT5,"['EBS2', 'KRT5A']"
DIS3,"['EXOSC11', 'dis3p', 'RRP44', 'KIAA1008']"
KNDC1,"['C10orf23', 'v-KIND', 'KIAA1768', 'RASGEF2', 'Very-KIND', 'bB439H18.3', 'FLJ25027']"
STOML2,"['HSPC108', 'SLP-2']"
BOC,"['Boi', 'CDON2']"
VPS53,"['FLJ10979', 'HCCS1']"
MICU3,"['DKFZp313A0139', 'EFHA2']"
MAP3K2,"['MEKK2B', 'MEKK2']"
NMNAT2,"['KIAA0479', 'PNAT2', 'C1orf15']"
SNN,[nan]
FBXL17,"['DKFZP434C1715', 'Fbl17', 'Fbx13', 'FBXO13']"
IVNS1ABP,"['NS1-BP', 'ARA3', 'NS-1', 'HSPC068', 'KIAA0850', 'ND1', 'KLHL39']"
CDK13,"['CDC2L', 'CHED', 'CDC2L5', 'KIAA1791']"
DLC1,"['HP', 'ARHGAP7', 'p122-RhoGAP', 'DLC-1', 'STARD12']"
PPFIBP1,"['L2', 'SGT2', 'hSgt2p', 'hSGT2']"
SLC25A13,"['CITRIN', 'ARALAR2', 'CTLN2']"
PABPN1,"['PABP2', 'PAB2', 'OPMD']"
PPP2R5A,"['B56A', 'B56alpha', 'PR61A']"
NDUFAF4,"['My013', 'C6orf66', 'bA22L21.1', 'HRPAP20', 'HSPC125']"
KPNA3,"['SRP1gamma', 'SRP4', 'IPOA4', 'hSRP1']"
RRP12,['KIAA0690']
IBTK,"['DKFZP564B116', 'BTBD26', 'BTKI']"
TONSL,"['NFKBIL2', 'IKBR']"
IGSF21,"['MGC15730', 'RP11-121A23.1']"
SNTB2,"['EST25263', 'SNT2B2', 'SNT3', 'SNTL', 'D16S2531E']"
SEZ6,[nan]
UNC119,"['POC7A', 'POC7', 'HRG4']"
BRMS1L,"['FLJ39177', 'BRMS1', 'MGC11296']"
CACNA1I,['Cav3.3']
WDR5,"['SWD3', 'CFAP89']"
LRIG1,"['LIG1', 'LIG-1', 'DKFZP586O1624']"
MYO15A,"['MYO15', 'DFNB3']"
EIF2AK2,"['PRKR', 'PPP1R83', 'PKR', 'EIF2AK1']"
CTBP2,['ribeye']
STK24,"['STK3', 'MST-3', 'MST3B', 'MST3', 'STE20']"
JAG1,"['HJ1', 'CD339', 'AWS', 'AHD', 'AGS', 'JAGL1']"
CPNE9,['KIAA4217']
ALDH3A2,"['ALDH10', 'FALDH', 'SLS']"
KCNQ3,"['EBN2', 'Kv7.3']"
BRD4,"['MCAP', 'HUNK1', 'CAP', 'HUNKI']"
IRS4,"['IRS-4', 'PY160']"
PCDHGC5,['PCDH-GAMMA-C5']
PSMD10,['p28']
TOP3A,"['TOP3', 'ZGRF7']"
TNFRSF14,"['CD270', 'LIGHTR', 'TR2', 'HVEM', 'ATAR', 'HVEA']"
TXLNA,['DKFZp451J0118']
PSMD11,"['p44.5', 'MGC3844', 'S9', 'Rpn6']"
ADAMTSL4,"['TSRC1', 'DKFZP434K1772']"
PARD3B,"['Par3L', 'ALS2CR19', 'PAR3beta']"
SRP9,[nan]
CPSF6,"['CFIM68', 'HPBRII-4', 'CFIM', 'HPBRII-7', 'CFIM72']"
CHCHD2,"['MNRR1', 'MIX17B', 'C7orf17']"
CBX8,"['HPC3', 'RC1', 'PC3']"
AAGAB,"['FLJ11506', 'p34']"
PLA2G6,"['iPLA2', 'PARK14', 'PNPLA9', 'NBIA2', 'iPLA2beta']"
ANKRD26,"['THC2', 'KIAA1074']"
CCND1,"['U21B31', 'BCL1', 'PRAD1', 'D11S287E']"
DNAJC11,['FLJ10737']
TRPC5,['PPP1R159']
CBR1,"['CBR', 'SDR21C1']"
SYNDIG1,"['TMEM90B', 'DSPC2', 'IFITMD5', 'C20orf39', 'FLJ14220']"
RPS6KA5,"['MSK1', 'RLPK']"
EMC2,"['KIAA0103', 'TTC35']"
USP13,['IsoT-3']
NUP214,"['D9S46E', 'CAIN', 'N214', 'CAN']"
B3GNT4,"['beta3Gn-T4', 'B3GN-T4']"
SFXN1,"['FLJ12876', 'SLC56A1']"
LARS2,"['LEURS', 'MGC26121', 'KIAA0028', 'mtLeuRS']"
CISD1,"['mitoNEET', 'ZCD1', 'C10orf70', 'MDS029']"
TPRG1L,"['RP11-46F15.3', 'FLJ21811', 'SVAP30', 'TPRGL', 'h-Mover', 'FAM79A']"
KCNH2,"['erg1', 'Kv11.1', 'HERG', 'LQT2']"
LPP,[nan]
MAPKAP1,"['SIN1', 'MIP1', 'MGC2745']"
YY1,"['UCRBP', 'DELTA', 'YIN-YANG-1', 'INO80S', 'NF-E1']"
ESYT1,"['KIAA0747', 'FAM62A', 'MBC2']"
SRSF11,"['SFRS11', 'p54', 'NET2']"
TRO,"['MAGED3', 'MAGE-D3', 'KIAA1114']"
SYT3,[nan]
ALYREF,"['ALY', 'THOC4', 'ALY/REF', 'REF', 'BEF']"
DAB2,['DOC-2']
IDH3A,[nan]
CENPB,[nan]
UQCRC2,"['QCR2', 'UQCR2']"
SLC4A8,['NBC3']
UBXN7,"['KIAA0794', 'UBXD7']"
TTBK1,['KIAA1855']
MGAT4C,['HGNT-IV-H']
SYT17,['Syt-17']
CNN3,[nan]
SLC9A1,"['APNH', 'PPP1R143', 'NHE1']"
CYB561,"['CYB561A1', 'FRRS2']"
SMCHD1,"['KIAA0650', 'FSHD2']"
CHAF1A,"['P150', 'MGC71229', 'CAF1B', 'CAF1P150', 'CAF1', 'CAF-1']"
PURB,['PURBETA']
CBX7,[nan]
TLE3,"['ESG3', 'ESG', 'KIAA1547', 'GRG3', 'HsT18976']"
NFE2L1,"['FLJ00380', 'TCF11', 'NRF-1', 'NRF1', 'LCR-F1']"
PAG1,"['CBP', 'PAG']"
NDUFA8,"['PGIV', 'MGC793']"
FBXL2,"['FBL2', 'FBL3']"
GFM2,"['FLJ21661', 'EF-G2mt', 'EFG2']"
CNBP,"['DM2', 'CNBP1', 'ZCCHC22', 'ZNF9', 'RNF163']"
RASSF2,"['CENP-34', 'KIAA0168']"
KCNK12,"['THIK2', 'K2p12.1', 'THIK-2']"
EBNA1BP2,"['NOBP', 'P40', 'EBP2']"
MPDZ,['MUPP1']
CDC23,"['ANAPC8', 'CUT23', 'APC8']"
PSMD3,"['P58', 'Rpn3', 'S3', 'TSTA2']"
POLD1,"['CDC2', 'POLD']"
DNAJA3,"['hTid-1', 'TID1']"
DPYSL4,"['ULIP4', 'CRMP3', 'DRP-4']"
RBBP7,['RbAp46']
SBDS,"['FLJ10917', 'CGI-97', 'SWDS', 'SDO1', 'SDS']"
RHOT2,"['C16orf39', 'MIRO2', 'MIRO-2', 'ARHT2']"
PNN,['memA']
SART3,"['KIAA0156', 'p110', 'TIP110', 'RP11-13G14']"
CAP1,['CAP']
FCHO2,[nan]
MAGOH,"['MAGOHA', 'MAGOH1']"
SBNO1,"['FLJ10833', 'FLJ10701', 'Sno', 'MOP3']"
TBC1D15,"['FLJ12085', 'DKFZp761D0223']"
PA2G4,['EBP1']
PSMA4,"['HC9', 'HsT17706']"
GRB7,[nan]
PNPT1,"['DFNB70', 'OLD35', 'old-35', 'PNPase']"
MGAT3,['GNT-III']
BYSL,['Enp1']
COL18A1,"['KNO', 'KNO1', 'KS']"
PINX1,"['Pxr1', 'FLJ20565', 'Gno1', 'MGC8850', 'LPTL', 'LPTS']"
ACAP2,"['CNT-B2', 'CENTB2', 'KIAA0041']"
CRBN,"['MRT2A', 'MRT2']"
MYO5C,['MGC74969']
RIPK3,['RIP3']
DNAJC12,['JDP1']
RANBP1,['HTF9A']
HNRNPDL,"['LGMD1G', 'laAUF1', 'JKTBP', 'HNRPDL']"
FAM50B,"['D6S2654E', 'X5L']"
ELAC2,"['HPC2', 'FLJ10530']"
VASN,['SLITL2']
BRI3BP,"['HCCRBP-3', 'BNAS1', 'HCCR-2', 'KG19']"
PDK3,[nan]
HSD17B12,"['KAR', 'SDR12C1']"
VPS41,['HVSP41']
GUK1,[nan]
RBM4,"['LARK', 'RBM4A', 'ZCRB3A', 'ZCCHC21']"
NAV3,"['POMFIL1', 'KIAA0938']"
NKRF,"['ITBA4', 'NRF']"
HCK,['JTK9']
MAP3K5,"['MEKK5', 'MAPKKK5', 'ASK1']"
BAIAP2L1,['IRTKS']
COQ9,"['DKFZP434K046', 'C16orf49']"
VAC14,"['FLJ10305', 'ArPIKfyve', 'TAX1BP2']"
HSPB2,"['MKBP', 'Hs.78846']"
GCFC2,"['TCF9', 'C2orf3', 'GCF', 'DNABF']"
TCTN2,"['TECT2', 'C12orf38', 'MKS8', 'JBTS24', 'FLJ12975']"
MYO9B,['CELIAC4']
STK11,"['PJS', 'LKB1']"
SSBP1,"['SSBP', 'mtSSB']"
PLEKHH1,['KIAA1200']
SAP18,"['SAP18p', '2HOR0202', 'MGC27131']"
RBFOX3,"['NeuN', 'FOX-3', 'HRNBP3']"
EXTL3,"['REGR', 'botv']"
SPG21,"['BM-019', 'MAST', 'ACP33', 'GL010', 'ABHD21']"
CHCHD3,"['MICOS19', 'Mic19', 'PPP1R22', 'MINOS3', 'FLJ20420']"
CHERP,"['DAN16', 'ERPROT213-21']"
PDAP1,"['PAP1', 'HASPP28', 'PAP']"
ATXN7L3,['DKFZp761G2113']
PTPN2,"['TC-PTP', 'TCELLPTP', 'TCPTP', 'PTPT']"
S100A6,"['2A9', 'PRA', 'CACY', 'CABP']"
COL11A2,"['DFNB53', 'DFNA13', 'HKE5']"
GTF3C1,['TFIIIC220']
PKN3,"['PKNbeta', 'UTDP4-1']"
FGFR1OP2,['DKFZp564O1863']
KLF16,"['NSLP2', 'DRRF', 'BTEB4']"
OAZ1,"['OAZ', 'MGC138338', 'AZI', 'AZ1']"
EIF3C,"['EIF3S8', 'eIF3-p110']"
KAT2A,"['GCN5L2', 'GCN5', 'PCAF-b']"
ISCA1,"['HBLD2', 'hIscA', 'MGC4276', 'ISA1']"
RAB31,['Rab22B']
AKT3,"['RAC-gamma', 'PKBG', 'PRKBG']"
POU2F1,"['OTF1', 'OCT1']"
F12,[nan]
FOXP2,"['TNRC10', 'SPCH1', 'CAGH44']"
PAFAH1B3,[nan]
MCCC1,"['MCCCÃŽÂ±', 'MCCA']"
RRM2B,['p53R2']
KAT7,"['ZC2HC7', 'MYST2', 'HBOA', 'HBO1']"
PLXNA1,"['PLXN1', 'NOV']"
CACNA2D2,['KIAA0558']
ZRANB2,"['ZIS', 'ZIS1', 'ZIS2', 'ZNF265']"
KRT8,"['CYK8', 'CK8', 'K8', 'K2C8', 'CARD2', 'KO']"
IGF2BP3,"['IMP-3', 'CT98', 'IMP3']"
IPCEF1,"['PIP3-E', 'KIAA0403']"
NDUFV1,['CI-51K']
CDC25C,"['PPP1R60', 'CDC25']"
KIF21B,"['DKFZP434J212', 'KIAA0449']"
OTOF,"['DFNB9', 'DFNB6', 'FER1L2']"
THSD7A,['KIAA0960']
ADAMTS9,['KIAA1312']
E2F1,"['RBBP3', 'RBP3']"
BCL6,"['ZNF51', 'BCL5', 'ZBTB27', 'LAZ3', 'BCL6A']"
AKAP5,"['AKAP79', 'AKAP75']"
PCGF1,"['RNF68', 'NSPC1', 'MGC10882']"
PPME1,"['PME-1', 'ABDH19']"
ADAR,"['G1P1', 'ADAR1', 'IFI4']"
RBBP6,"['P2P-R', 'SNAMA', 'PACT']"
PTGES2,"['FLJ14038', 'C9orf15']"
ERLIN2,"['SPG18', 'SPFH2', 'NET32', 'C8orf2', 'Erlin-2']"
PCDHA5,"['CRNR6', 'CNRS6', 'PCDH-ALPHA5', 'CNRN6', 'CNR6']"
BAIAP3,"['KIAA0734', 'BAP3']"
MTHFD1L,"['FTHFSDC1', 'DKFZP586G1517', 'FLJ21145']"
PSMA2,"['PMSA2', 'HC3', 'MU']"
NPEPPS,"['PSA', 'MP100']"
TRPM2,"['KNP3', 'NUDT9L1', 'TRPC7', 'EREG1', 'LTRPC2', 'NUDT9H']"
YBX3,"['ZONAB', 'CSDA1', 'dbpA', 'CSDA']"
PGAM5,"['BXLBv68', 'MGC5352']"
CACNB1,['CACNLB1']
GRIN2C,"['GluN2C', 'NMDAR2C']"
ATP2A3,['SERCA3']
MYBBP1A,"['Pol5', 'FLJ37886', 'PAP2', 'P160']"
JUND,['AP-1']
MSH3,"['MRP1', 'DUP']"
SLC25A23,"['FLJ30339', 'MGC2615', 'APC2']"
HSPA1L,"['hum70t', 'HSP70-HOM']"
PSTPIP1,"['CD2BP1S', 'CD2BP1', 'PAPAS', 'CD2BP1L', 'PSTPIP', 'H-PIP']"
FMN2,[nan]
MPZL1,"['FLJ21047', 'PZR']"
HTATSF1,['TAT-SF1']
RABGEF1,"['rabex-5', 'RABEX5']"
ITGA2,['CD49B']
BMI1,"['PCGF4', 'RNF51']"
MYO7B,[nan]
TRIM5,"['TRIM5alpha', 'RNF88']"
PCDHGA5,"['PCDH-GAMMA-A5', 'CDH-GAMMA-A5', 'ME3']"
ACTB,[nan]
HSPBP1,['FES1']
ADAP1,"['GCS1L', 'CENTA1']"
NPY2R,[nan]
CDKN2A,"['MTS1', 'CMM2', 'p14', 'p16INK4a', 'INK4', 'CDKN2', 'p16', 'ARF', 'p19', 'CDK4I', 'INK4a', 'p14ARF', 'MLM', 'p19Arf']"
SUV39H1,"['SUV39H', 'KMT1A']"
TRIM21,"['RNF81', 'SSA1', 'RO52']"
CBY1,"['Chibby1', 'Cby', 'PIGEA14', 'C22orf2', 'PIGEA-14', 'Chibby', 'PGEA1']"
TLR2,"['CD282', 'TIL4']"
GHR,['GHBP']
LAGE3,"['DXS9951E', 'ESO3', 'ITBA2', 'CVG5', 'Pcc1', 'DXS9879E']"
PFKM,"['PFKX', 'PFK-1', 'PPP1R122']"
PEA15,"['MAT1H', 'HUMMAT1H', 'PED/PEA15', 'MAT1', 'HMAT1', 'PEA-15', 'PED', 'PED-PEA15']"
FOXO1,"['FKHR', 'FKH1', 'FOXO1A']"
SCG5,"['SGNE1', '7B2', 'SgV']"
KCNK1,"['K2p1.1', 'TWIK-1', 'DPK']"
FRY,"['bA37E23.1', 'CG003', 'C13orf14', '13CDNA73']"
TMPRSS15,"['PRSS7', 'ENTK', 'MGC133046']"
BCOR,"['FLJ20285', 'KIAA1575']"
NDE1,"['NDE', 'FLJ20101', 'nudE']"
LLGL1,"['Lgl1', 'Mgl1', 'DLG4', 'LLGL', 'HUGL-1', 'HUGL']"
HIP1,['ILWEQ']
ZC3H11A,"['ZC3HDC11A', 'KIAA0663']"
CMAS,[nan]
ERRFI1,"['GENE-33', 'RALT', 'MIG-6']"
OGDHL,['FLJ10851']
NFATC1,"['NF-ATC', 'NFAT2', 'NFATc']"
RAD50,"['RAD50-2', 'hRad50']"
SKAP1,"['SCAP1', 'SKAP55']"
LCP2,"['SLP-76', 'SLP76']"
COX5B,[nan]
DEAF1,"['ZMYND5', 'NUDR', 'SPN']"
ZNF532,['FLJ10697']
SRSF7,"['HSSG1', 'AAG3', 'ZCCHC20', '9G8', 'ZCRB2', 'SFRS7', 'RBM37']"
POLDIP3,"['KIAA1649', 'PDIP46', 'SKAR', 'PDIP3']"
STRN,"['PPP2R6A', 'STRN1']"
PHPT1,"['bA216L13.10', 'CGI-202', 'HSPC141', 'DKFZp564M173', 'PHP14']"
BIRC2,"['cIAP1', 'RNF48', 'c-IAP1', 'MIHB', 'hiap-2', 'API1']"
PPP1R15A,['GADD34']
IRS2,[nan]
AKAP9,"['MU-RMS-40.16A', 'YOTIAO', 'AKAP450', 'KIAA0803', 'HYPERION', 'PRKA9', 'CG-NAP', 'PPP1R45', 'AKAP350', 'LQT11']"
GPR37L1,['ETBR-LP-2']
SNX13,"['KIAA0713', 'RGS-PX1']"
RAP1GAP2,"['KIAA1039', 'GARNL4']"
DCX,"['DC', 'XLIS', 'DBCN', 'SCLH', 'LISX']"
JARID2,['JMJ']
C2CD4C,"['KIAA1957', 'FAM148C', 'NLF3']"
KHDRBS3,"['SLM-2', 'T-STAR', 'SALP', 'etoile', 'Etle', 'SLM2']"
NUP93,['KIAA0095']
NUP62,"['FLJ20822', 'SNDI', 'p62', 'IBSN', 'MGC841', 'DKFZp547L134', 'FLJ43869']"
NUP98,"['Nup98-Nup96', 'NUP196', 'Nup98-96', 'NUP96']"
ARID4B,"['RBP1L1', 'BRCAA1', 'BCAA', 'SAP180']"
PCDHA1,[nan]
FAM50A,"['DXS9928E', 'HXC-26', 'XAP5', '9F']"
NME2,"['NM23-H2', 'NDPKB']"
ANXA6,['ANX6']
PIGN,"['MCD4', 'PIG-N']"
CDK11A,"['CDK11-p58', 'CDK11-p110', 'CDC2L2', 'p58GTA', 'CDK11-p46', 'PITSLRE', 'CDC2L3']"
KRT19,"['MGC15366', 'K1CS', 'K19', 'CK19']"
BANP,"['BEND1', 'FLJ20538', 'SMAR1', 'FLJ10177', 'DKFZp761H172', 'SMARBP1']"
CDC20,"['CDC20A', 'p55CDC']"
ZEB2,"['SIP-1', 'KIAA0569', 'ZFHX1B', 'SIP1']"
CAPRIN1,"['GPIAP1', 'RNG105', 'caprin-1', 'M11S1']"
NLRP2,"['FLJ20510', 'NBS1', 'NALP2', 'PYPAF2', 'CLR19.9', 'PAN1']"
ICA1,"['ICA69', 'ICAp69']"
TRIM29,"['FLJ36085', 'ATDC']"
BNIP3L,"['BNIP3a', 'Nix']"
BDNF,[nan]
GDA,"['CYPIN', 'GAH']"
SKP2,"['p45', 'FBL1', 'FBXL1']"
CHD1L,['ALC1']
NAA10,"['ARD1A', 'DXS707', 'TE2', 'ARD1']"
POLR3A,"['C160', 'RPC1', 'hRPC155', 'RPC155']"
GFPT1,"['GFA', 'GFPT', 'GFAT', 'GFAT1']"
TXN,"['TRX', 'Trx80']"
RUFY3,"['KIAA0871', 'ZFYVE30', 'RIPx', 'Singar1']"
LAMA2,['LAMM']
CEP350,"['CAP350', 'KIAA0480']"
TACC1,[nan]
ATG16L1,"['FLJ10035', 'ATG16A', 'ATG16L', 'APG16L', 'WDR30']"
DIS3L2,"['MGC42174', 'FLJ36974', 'FAM6A']"
PPP6R2,"['KIAA0685', 'SAP190', 'dJ579N16.1', 'SAPS2']"
FDFT1,['SQS']
MCRS1,"['MCRS2', 'P78', 'ICP22BP', 'MSP58', 'INO80Q']"
AMPD2,['SPG63']
KRT17,['PCHC1']
OPHN1,"['ARHGAP41', 'MRX60', 'OPN1']"
TRIM32,"['BBS11', 'LGMD2H', 'TATIP', 'HT2A']"
MYO1E,"['MGC104638', 'HuncM-IC', 'MYO1C']"
KRT222,"['KA21', 'MGC45562', 'KRT222P']"
WNT2B,"['WNT13', 'XWNT2']"
MAG,"['SIGLEC-4A', 'S-MAG', 'SIGLEC4A', 'GMA']"
BRPF3,['KIAA1286']
PLCH1,"['KIAA1069', 'PLCeta1', 'MGC117152', 'DKFZp434C1372', 'PLCL3']"
NAT10,"['FLJ10774', 'hALP', 'FLJ12179', 'Kre33', 'KIAA1709', 'NET43']"
MICAL3,['KIAA0819']
PDHX,"['DLDBP', 'PDX1', 'OPDX', 'proX', 'E3BP']"
ARFIP1,['HSU52521']
GNA13,"['G13', 'MGC46138']"
ADAMTS1,"['C3-C5', 'METH1', 'KIAA1346']"
L3MBTL2,"['dJ756G23.3', 'H-l(3)mbt-l', 'DKFZP761I141']"
PCDHA4,"['CNRN1', 'CRNR1', 'CNR1', 'PCDH-ALPHA4']"
OLIG1,"['bHLHe21', 'BHLHB6']"
NPHS1,"['NPHN', 'CNF']"
KMT2C,"['MLL3', 'HALR', 'KIAA1506']"
FAT1,"['CDHR8', 'CDHF7', 'FAT']"
NOLC1,"['KIAA0035', 'P130', 'Srp40', 'NOPP130', 'NOPP140']"
CDC42EP1,"['CEP1', 'MSE55', 'Borg5']"
ACAA1,[nan]
RIPK2,"['RIP2', 'CARDIAK', 'CARD3', 'RICK']"
KCNIP3,"['CSEN', 'KCHIP3', 'DREAM']"
ICAM1,"['CD54', 'BB2']"
SMYD3,"['ZNFN3A1', 'ZMYND1', 'KMT3E']"
ANXA11,['ANX11']
KIAA0319,['NMIG']
RASGRP1,"['RASGRP', 'CalDAG-GEFII']"
DGUOK,['dGK']
TENM2,"['ODZ2', 'KIAA1127', 'TEN2', 'Ten-M2']"
U2SURP,"['SR140', 'fSAPa']"
SYT4,"['HsT1192', 'KIAA1342']"
SATB1,[nan]
FH,[nan]
FAM131B,['KIAA0773']
PLXND1,['KIAA0620']
CTR9,"['SH2BP1', 'TSBP', 'p150TSP', 'KIAA0155']"
SON,"['DBP-5', 'C21orf50', 'NREBP', 'KIAA1019', 'FLJ33914', 'BASS1', 'FLJ21099']"
FUT8,[nan]
NOP2,"['NSUN1', 'NOP120', 'p120', 'NOL1']"
RNF14,"['TRIAD2', 'HFB30', 'ARA54']"
NSFL1C,"['p47', 'UBX1', 'UBXN2C', 'UBXD10', 'dJ776F14.1']"
PCDHA6,"['PCDH-ALPHA6', 'CNR2', 'CNRS2', 'CRNR2']"
XRCC3,[nan]
IL17RA,"['hIL-17R', 'IL-17RA', 'CDw217', 'IL17R', 'CD217']"
PGM1,[nan]
PGR,"['PR', 'NR3C3']"
VBP1,"['PFD3', 'PFDN3']"
ATG2A,['KIAA0404']
MRPS27,['KIAA0264']
DAP3,"['MRPS29', 'bMRP-10', 'MGC126059', 'MGC126058', 'MRP-S29', 'DAP-3', 'DKFZp686G12159']"
MPG,['MDG']
RAB11FIP5,"['pp75', 'GAF1', 'RIP11', 'KIAA0857']"
BCAP29,"['BAP29', 'DKFZp686M2086']"
GULP1,"['CED-6', 'GULP', 'CED6']"
FOXN3,"['C14orf116', 'CHES1']"
BCAS3,"['FLJ20128', 'PHAF2']"
RPS6KA2,"['HU-2', 'RSK3']"
HSF1,['HSTF1']
MARK1,"['PAR-1C', 'MARK']"
STK39,"['DCHT', 'SPAK']"
POLR1C,"['RPA39', 'AC40', 'RPAC1', 'RPA5', 'RPC40', 'RPA40']"
TRIOBP,"['DFNB28', 'TAP68', 'Tara', 'KIAA1662', 'HRIHFB2122']"
ETFA,"['EMA', 'MADD', 'GA2']"
ZNF521,"['EHZF', 'Evi3']"
EDA,"['ED1-A1', 'EDA1', 'HED', 'ED1-A2', 'EDA2', 'XHED', 'ED1', 'EDA-A1', 'XLHED', 'ODT1', 'EDA-A2']"
ZMAT4,['FLJ13842']
BMX,"['ETK', 'PSCTK3']"
NUP160,"['FLJ22583', 'KIAA0197']"
ARHGAP1,"['p50rhoGAP', 'RhoGAP', 'CDC42GAP']"
COPS4,['CSN4']
LRP6,['ADCAD2']
CPSF7,"['CFIM59', 'FLJ12529']"
RECQL,"['RecQL1', 'RecQ1']"
GLG1,"['MG-160', 'CFR-1', 'ESL-1']"
FMNL2,"['FHOD2', 'KIAA1902']"
HRNR,"['FLG3', 'S100A16', 'S100a18']"
RHOC,"['ARH9', 'ARHC']"
PLD2,[nan]
MYO15B,['MYO15BP']
ESRRB,"['ESRL2', 'NR3B2', 'DFNB35', 'ERR2', 'ERRbeta', 'ERRb']"
RNF41,"['NRDP1', 'SBBI03']"
DYRK1A,"['MNBH', 'DYRK', 'DYRK1']"
APAF1,"['CED4', 'APAF-1']"
ADRB1,['ADRB1R']
MAPK7,"['BMK1', 'PRKM7', 'ERK5']"
SHC3,"['SHCC', 'NSHC', 'N-Shc']"
SCN3A,['Nav1.3']
UBE2V2,"['DDVIT1', 'EDPF-1', 'EDAF-1', 'DDVit-1', 'EDPF1', 'UEV2', 'MMS2', 'UEV-2']"
RAP2B,[nan]
ARFGAP2,"['IRZ', 'FLJ14576', 'Zfp289', 'ZNF289']"
HS3ST1,['3OST1']
ZFAND5,"['ZA20D2', 'ZFAND5A', 'ZNF216']"
PPP6R3,"['MGC125711', 'SAPLa', 'DKFZp781O2362', 'MGC125712', 'SAP190', 'PP6R3', 'DKFZp781E17107', 'FLJ43065', 'FLJ11058', 'KIAA1558', 'DKFZp781E2374', 'SAPL', 'SAPS3', 'C11orf23']"
HSPA2,[nan]
CTPS2,['GATD5B']
KRT16,['NEPPK']
NCR3LG1,"['DKFZp686O24166', 'B7-H6']"
PHACTR3,"['PPP1R123', 'C20orf101']"
PLCB2,['FLJ38135']
NAP1L4,['NAP2']
SLC9A6,"['KIAA0267', 'NHE6']"
TRPM6,"['CHAK2', 'FLJ22628', 'HOMG', 'HSH']"
COPG1,['COPG']
SDK1,['FLJ31425']
GTSE1,"['GTSE-1', 'B99', 'Lnc_bc060912']"
SLC7A5,"['D16S469E', 'MPE16', 'CD98', 'LAT1', 'E16']"
NDUFB7,"['B18', 'MGC2480', 'CI-B18']"
ATCAY,['BNIP-H']
TOMM40,"['PER-EC1', 'D19S1177E', 'TOM40', 'C19orf1', 'PEREC1']"
SNX25,['SBBI31']
CNNM1,['ACDP1']
ID2,"['bHLHb26', 'GIG8']"
SEC31A,"['SEC31L1', 'ABP125', 'KIAA0905', 'ABP130']"
ACAT1,"['ACAT', 'THIL']"
CKAP5,"['TOG', 'ch-TOG', 'TOGp', 'KIAA0097']"
RIPK1,"['RIP', 'RIP-1', 'RIP1']"
RBL2,"['p130', 'Rb2']"
RBM23,"['RNPC4', 'FLJ10482', 'CAPERbeta']"
RXRB,"['H-2RIIBP', 'RCoR-1', 'NR2B2', 'RXRbeta', 'RXR-beta']"
NEFH,"['NFH', 'NF-H']"
PCSK9,"['FH3', 'NARC-1', 'HCHOLA3']"
DDAH1,['DDAH']
PRDX3,"['AOP1', 'AOP-1', 'MER5', 'SP-22']"
OSBPL3,"['ORP3', 'ORP-3', 'KIAA0704', 'OSBP3']"
MED12L,"['TNRC11L', 'TRALPUSH', 'TRALP', 'KIAA1635']"
PSME3,"['Ki', 'PA28G', 'PA28-gamma', 'REG-GAMMA']"
LLGL2,"['Hugl-2', 'HGL']"
AQP4,"['MIWC', 'AQP-4', 'hAQP4']"
MAOB,[nan]
IP6K2,['IHPK2']
SEMA3F,"['SEMAK', 'Sema4']"
PRMT8,"['HRMT1L4', 'HRMT1L3']"
RAPGEF1,"['C3G', 'GRF2']"
LATS1,['WARTS']
PMP2,"['MP2', 'FABP8', 'M-FABP']"
